Name,Position,Total Score,Minutes Played,Cost,points_per_game,points_per_game_per_million,Bonus per 90,Points per 90,Points per million,Points per million per 90
Cech,1,124,3039,5.0,3.6,0.72,0.21,3.67,24.8,0.73
Koscielny,2,100,2225,5.5,4.0,0.73,0.65,4.04,18.18,0.73
Bellern,2,132,3050,5.5,3.8,0.69,0.32,3.9,24.0,0.71
Monreal,2,130,2241,5.5,4.6,0.84,0.6,5.22,23.64,0.95
Mustafi,2,109,2272,5.5,4.0,0.73,0.51,4.32,19.82,0.79
Kolasinac,2,108,2146,5.0,4.0,0.8,0.25,4.53,21.6,0.91
zil,3,112,2161,8.5,4.3,0.51,0.46,4.66,13.18,0.55
Ramsey,3,130,1844,7.5,5.4,0.72,0.59,6.34,17.33,0.85
Iwobi,3,89,1827,5.5,3.4,0.62,0.1,4.38,16.18,0.8
Xhaka,3,109,3259,5.5,2.9,0.53,0.08,3.01,19.82,0.55
Mkhitaryan,3,107,1712,7.0,4.1,0.59,0.47,5.63,15.29,0.8
Welbeck,4,70,1178,6.5,2.5,0.38,0.46,5.35,10.77,0.82
Lacazette,4,138,2197,9.5,4.3,0.45,0.45,5.65,14.53,0.59
Aubameyang,4,87,1056,11.0,6.7,0.61,1.02,7.41,7.91,0.67
Begovic,1,112,3420,4.5,2.9,0.64,0.16,2.95,24.89,0.66
Francis,2,56,2708,4.5,1.8,0.4,0.1,1.86,12.44,0.41
Steve Cook,2,83,2764,4.5,2.4,0.53,0.29,2.7,18.44,0.6
Daniels,2,94,3001,4.5,2.7,0.6,0.12,2.82,20.89,0.63
Adam Smith,2,56,2067,4.5,2.1,0.47,0.13,2.44,12.44,0.54
Ak,2,102,3352,5.0,2.7,0.54,0.21,2.74,20.4,0.55
Surman,3,82,1851,5.0,3.3,0.66,0.44,3.99,16.4,0.8
Stanislas,3,75,1285,6.0,3.9,0.65,0.49,5.25,12.5,0.88
Gosling,3,59,1941,5.0,2.1,0.42,0.19,2.74,11.8,0.55
Ibe,3,85,1988,5.5,2.7,0.49,0.23,3.85,15.45,0.7
Lewis Cook,3,58,2234,5.0,2.0,0.4,0.0,2.34,11.6,0.47
Fraser,3,97,2003,5.5,3.7,0.67,0.58,4.36,17.64,0.79
Wilson,4,102,1981,6.0,3.6,0.6,0.59,4.63,17.0,0.77
King,4,110,2450,6.5,3.3,0.51,0.37,4.04,16.92,0.62
Defoe,4,60,1075,6.0,2.5,0.42,0.42,5.02,10.0,0.84
Ryan,1,146,3420,4.5,3.8,0.84,0.34,3.84,32.44,0.85
Dunk,2,97,3420,4.5,2.6,0.58,0.18,2.55,21.56,0.57
Duffy,2,100,3292,4.5,2.7,0.6,0.19,2.73,22.22,0.61
Bruno,2,84,2014,4.5,3.4,0.76,0.36,3.75,18.67,0.83
Bong,2,63,2237,4.5,2.5,0.56,0.2,2.53,14.0,0.56
Suttner,2,38,1178,4.0,2.7,0.68,0.23,2.9,9.5,0.72
Schelotto,2,20,1313,4.0,1.0,0.25,0.0,1.37,5.0,0.34
Knockaert,3,88,2415,5.5,2.7,0.49,0.22,3.28,16.0,0.6
Stephens,3,87,3240,4.5,2.4,0.53,0.06,2.42,19.33,0.54
March,3,74,1838,5.0,2.1,0.42,0.15,3.62,14.8,0.72
